p1,q1,p2,q2,RMSE,MAPE,AIC_mean,AIC_std,BIC_mean,BIC_std
1,1,0,0,14735.799398876901,0.025834315460481996,51083.25487994787,467.9710383146603,51094.50161782856,468.16424285852304
1,1,0,1,15862.624957195261,0.02756861586233258,50886.22913116147,455.53515377838744,50901.22478166904,455.79241994749646
1,1,0,2,18347.874293980447,0.03194795820576879,50859.744209024124,465.2330461977959,50878.48877215858,465.55313577120523
1,1,1,0,21461.64480420383,0.036648037541415886,50903.34110695782,446.69870748640284,50918.33675746538,446.95601942558255
1,1,1,1,20116.310823933167,0.034823991700726066,50907.07649286152,454.1010252235421,50925.82105599597,454.42297397776196
1,1,1,2,19429.996913304356,0.03388759309068423,50894.44199748747,454.9215639986174,50916.93547324881,455.3078914740415
1,1,2,0,23930.1001564388,0.04092980962097665,50888.10081971383,453.7182544389423,50906.845382848296,454.04019585707437
1,1,2,1,24014.500813725623,0.040993805441962884,50868.9431010494,453.47064622743915,50891.43657681077,453.8569715418886
1,1,2,2,24014.85379977462,0.041003842254503625,50870.94030631322,453.4652128828086,50897.18269470146,453.9159260252285
1,2,0,0,13701.14976120568,0.024272151320391417,51086.70190523452,468.16962542905327,51101.69755574208,468.4272358363857
1,2,0,1,16942.05230880863,0.030031511854672167,50892.44295581512,453.07898136649527,50911.18751894958,453.400172249221
1,2,0,2,19493.822394218172,0.035465810068999806,50910.25792887482,456.95465483060747,50932.751404636154,457.3393384738161
1,2,1,0,21626.59206834021,0.037797949450346355,50935.74267992389,455.77456295283633,50954.48724305836,456.09653418302145
1,2,1,1,20469.472415106433,0.036468282122884686,50933.374094763814,456.48620030987956,50955.867570525166,456.872565842034
1,2,1,2,20223.342145492836,0.036430440786775514,50922.23537798941,457.26443193084486,50948.477766377655,457.71517942042186
1,2,2,0,24080.951708166434,0.0416026071245566,50916.578205637765,456.0577776501655,50939.071681399124,456.4441332513901
1,2,2,1,24306.82367070067,0.04269624192786322,50899.3126229141,456.16178378480413,50925.55501130234,456.6125275108008
1,2,2,2,24307.29817911817,0.04269429038098577,50901.312501274966,456.1581105602044,50931.30380229012,456.6732465281006
1,3,0,0,22148.343862203725,0.03876897302321084,51153.80506799428,470.8748414809187,51172.54963112874,471.1964406291566
1,3,0,1,18179.587973813952,0.03194807640556122,50919.74696772628,453.21988665356,50942.24044348763,453.60502680183276
1,3,0,2,19286.54644860732,0.03304444140979581,50923.372413922785,456.2867071020671,50949.614802311015,456.737471740627
1,3,1,0,21837.431972424838,0.037860248015792644,50937.779397107624,454.88734803221206,50960.272872868976,455.273713338634
1,3,1,1,20502.43762844804,0.035782714096234715,50934.908246427185,455.5364967316026,50961.15063481543,455.98726024575177
1,3,1,2,20013.38548656728,0.034310937203082266,50923.633831937004,455.9949043503707,50953.62513295214,456.5100587080169
1,3,2,0,24190.32143885331,0.0416625948787962,50919.549699407,454.9955134139831,50945.79208779525,455.4462638349291
1,3,2,1,24716.84987827578,0.04316323808086574,50901.850986346086,454.94676728887555,50931.84228736121,455.46190496327887
1,3,2,2,24661.66880503083,0.04310795054706039,50903.84050195963,454.9521950287648,50937.580715601645,455.53172496249965
2,1,0,0,13909.023098690248,0.024675775122149,51081.92101817254,467.94763305692356,51096.91666868012,468.2052404806086
2,1,0,1,15780.322758654365,0.02747443529878387,50927.1263206586,458.00706295149524,50945.87088379306,458.32901376103246
2,1,0,2,18456.159688998006,0.032307600033049215,50889.471798425235,455.2292107774443,50911.96527418657,455.6155081335738
2,1,1,0,21535.995673017733,0.036735412677894756,50904.451201350596,453.4503449092897,50923.195764485055,453.7722934347378
2,1,1,1,20067.177834428523,0.0346594679490079,50901.42687800267,454.1460385765897,50923.920353764006,454.53237770897994
2,1,1,2,19543.498881047246,0.033946579987172355,50888.75574284508,454.9392338773409,50914.99813123332,455.3899497408078
2,1,2,0,24107.593402744063,0.04120486393151875,50882.07807940159,453.763917505738,50904.57155516294,454.1502500391582
2,1,2,1,24163.06177567152,0.041213101081935086,50862.523126987886,453.513863168702,50888.76551537614,453.96457640101795
2,1,2,2,24121.150966908233,0.041145870564129376,50864.47762018516,453.5274627057101,50894.46892120029,454.04256395892867
2,2,0,0,14367.074137580865,0.02515042160885304,51091.46067095876,470.2406062964883,51110.20523409322,470.56160859314576
2,2,0,1,16785.74702531015,0.029719017565904133,50936.40196339249,459.5592588123592,50958.89543915383,459.9437277590516
2,2,0,2,19448.997462228323,0.03512814223186741,50905.57354836725,459.4667743789991,50931.8159367555,459.9157266759667
2,2,1,0,21654.732374833788,0.037661065250985684,50918.12531598003,456.19133685327915,50940.61879174136,456.57675145961156
2,2,1,1,20535.30087957651,0.03638343900755661,50914.540364798195,457.0584736155217,50940.782753186446,457.50809426242256
2,2,1,2,20324.648515468867,0.03636204255144623,50902.942343199684,458.0628599331622,50932.93364421482,458.57649513498154
2,2,2,0,24193.718029387608,0.041414311309033044,50895.360982361504,456.3377102944705,50921.60337074974,456.78746082890973
2,2,2,1,24465.660142278175,0.0426160968742897,50877.07388627122,456.6314158252638,50907.06518728634,457.1449795369439
2,2,2,2,24489.840995471957,0.04297298332600721,50876.359994471255,453.4643302576018,50910.10020811327,454.04272088480894
2,3,0,0,13357.004743789226,0.024498596277688765,51084.8907365419,468.39964845083693,51107.384212303245,468.7860629159148
2,3,0,1,16855.057510188853,0.02997501272440968,50937.434555226035,458.84892317068864,50963.676943614264,459.2991559939274
2,3,0,2,19347.972996810855,0.03299334095745797,50915.354663829145,456.50634676820283,50945.34596484427,457.02149635073084
2,3,1,0,21850.59679870935,0.0376837632245653,50930.154152441544,454.9394163993503,50956.39654082977,455.3901711630059
2,3,1,1,20448.247100719407,0.03537973758944244,50926.965902990036,455.64980241874866,50956.957204005164,456.16495259935607
2,3,1,2,20144.75549585499,0.03439966556036924,50915.20925046737,456.2126716325189,50948.94946410939,456.79220812674015
2,3,2,0,24326.623440736348,0.041709050297697385,50910.6597953406,455.13681336617515,50940.65109635574,455.6519510641345
2,3,2,1,24746.205310747617,0.04301375719113149,50892.59638743776,455.1411985765028,50926.33660107979,455.720718981046
2,3,2,2,24703.057277231706,0.04297287614567775,50894.590373106206,455.1446717757243,50932.07949937511,455.78858333708547
3,1,0,0,13970.22045049623,0.024743963312906805,51083.89592028129,467.9315285722203,51102.64048341575,468.2535378064048
3,1,0,1,16080.019270848034,0.02766066382502873,50901.87975070903,457.4821257290915,50924.37322647038,457.86798387385306
3,1,0,2,18604.187228470244,0.03285820276702297,50887.78471992356,455.1509958423298,50914.027108311806,455.60123035164895
3,1,1,0,21756.078070470885,0.03734879276692909,50905.308320617994,453.49610370570315,50927.80179637934,453.8824344290422
3,1,1,1,20304.529904199277,0.035441373469577896,50902.35823761355,454.19315586359113,50928.600626001804,454.643877054992
3,1,1,2,19608.58828197074,0.03439857397229122,50890.07960322093,454.9975946387729,50920.070904236076,455.51269211769466
3,1,2,0,24392.690544283152,0.041534626788530024,50882.47624628772,453.8605788495809,50908.71863467596,454.31128731770565
3,1,2,1,24299.623661531008,0.04166278822289079,50863.04878961044,453.7091263089531,50893.04009062559,454.22421561595996
3,1,2,2,24345.0328121418,0.041719989159906525,50865.033089666606,453.70128863357724,50898.77330330863,454.280764616363
3,2,0,0,14176.390142533262,0.025107322400699184,51087.202799350525,467.9814964914926,51109.69627511188,468.36790912830503
3,2,0,1,17162.628398773704,0.03068201642034862,50918.247123878195,457.70798673490725,50944.48951226644,458.15869106952425
3,2,0,2,19618.564609992238,0.03548376000940428,50877.99214633508,455.0470395756153,50907.98344735021,455.56209358811583
3,2,1,0,21861.596517138594,0.0382317509954502,50894.554311047184,452.69295798591804,50920.796699435414,453.14364299398227
3,2,1,1,20672.667107165053,0.0368217833652467,50889.8606438171,453.7365998825347,50919.85194483223,454.2516637854292
3,2,1,2,20452.43090899729,0.036694068247688665,50876.10985748883,454.4861239082698,50909.85007113086,455.06554834053634
3,2,2,0,24400.37531933099,0.04207354279136436,50869.33409025524,453.06759303742535,50899.32539127037,453.58263705158384
3,2,2,1,24604.598630827597,0.043159041187625376,50847.36491483513,453.2357165888759,50881.105128477146,453.8151196801529
3,2,2,2,24584.275662452786,0.04313504762501972,50849.3555075303,453.2310588460797,50886.84463379922,453.87484061630266
3,3,0,0,13518.005856674066,0.02452914298288203,51087.63702114761,467.1212748449996,51113.879409535846,467.57211330792103
